"Timestamp","Jsem pracovník","Jsem z fakulty / odjinud","Jsem","O dění na UP jsem vnitřními informačními kanály informován(a)","Dění na UP ohledně vzniku Vysokoškolského ústavu (dále VŠÚ)","Informace získávám","Současné dění okolo VŠÚ na UP považuji za záležitost","Se způsobem, jakým se na UP řeší vznik VŠÚ, jsem","Na dění na UP ohledně vzniku VŠÚ","Na dění na UP ohledně etických kauz","K dění na UP ohledně vzniku VŠÚ","K dění na UP v etických kauzách","Svůj názor na dění na UP ohledně vzniku VŠÚ","Svůj názor na dění na UP ohledně etických kauz","Domníváte se, že některé etické kauzy je potřeba vyřešit před vznikem VŠÚ?","Současné etické kauzy na UP I","Současné etické kauzy na UP II","Dění okolo Etické komise UP","Etické podněty ohledně možného falšování dat považuji za","Etické podněty k chování, komunikaci, práci či rozhodování některých zaměstnanců či vedoucích pracovníků považuji za","Roli univerzitního ombudsmana/ky","Postoje a postup vedení UP v řešení vzniku VŠÚ považuji za","Postoje a postup vedení UP v řešení etických kauz považuji za","Způsob řešení problémů na UP ze strany vedení UP považuji za ","Univerzitu Palackého považuji z hlediska mé vědecké, pedagogické či jiné práce","Ad případný vznik VŠÚ na UP","Mám možnost se svobodně rozhodnout, zda ve VŠÚ chci pracovat nebo ne","Pokud bych měl možnost se rozhodnout, pak bych do VŠÚ ","O anketě jsem se dozvěděl(a) ","Anketu jsem uvítal(a)","Rád budu seznámen(a) s výsledky (budou zveřejněny na UP reflexi)","Comment"
"2020/02/24 6:21:42 PM GMT+1","PhD student(ka)","PřF","muž","spíše dostatečně","zběžně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","nevím, o co jde / nesleduji","účelové","z části účelové","nemám vyhraněný názor","mírně zaujaté","mírně zaujaté","nedovedu posoudit","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","nevím / netýká se mne","nechtěl(a) vstoupit","z oficiálního e-mailu/stránky UP;od kolegy/ně","spíše ano","ano","Pouze bych se chtěl vrátit k otázce zda je nutné vyřešit etické kauzy před vznikem VŠÚ. Z uvedených možností jsem musel označit, že to za nutné považuji, není to však úplně přesné. Považuji to za vhodné s ohledem na to, aby danými kauzami (ať už dopadnou jakkoliv) nebyla dotčena pověst ústavu hned od jeho počátku. Autorům dotazníku bych rád poděkoval za vytvoření tohoto dotazníku."
"2020/02/24 6:25:19 PM GMT+1","Bc student(ka)","PřF","muž","nedostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;ze sociálních sítí;ze zpravodajských serverů;z jiných médií","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","nedovedu posoudit","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","účelové","účelové","bych spíše uvítal(a)","mírně zaujaté","mírně zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše jsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z oficiálního e-mailu/stránky fakulty","spíše ano","ano","Všechny tyto kauzy považuji za obrovský problém, jelikož UP díky nim ztrácí důvěru veřejnosti. Chování všech tří stran těchto sporů je absurdní a neodpovídající akademickému prostředí."
"2020/02/24 6:27:50 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","LF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","od kolegy/ně","ano","ano","U VŠÚ mimo jiné vůbec nevěřím jeho údajné ""přidané hodnotě"" pro UP"
"2020/02/24 6:36:59 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","je zcela zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ano","nevím, netýká se mne","z oficiálního e-mailu/stránky UP;od kolegy/ně;z dŽurnálu","ano","ano","Dění kolem kauzy ""Zbořil"" již dávno překročilo hranice ČR, a instituce velikosti UPOL by měla mít funkční mechanismy, ne jak řešit podobné problémy, ale jak jim předcházet. Pokud už k podobné situaci dojde (může se stát), rychlost vyřešení problému by měla být rychlejší než rychlá, bez ohledu na H-indexy a objemy fin. prostředků na grantech. Kdo může říci, že dotyčný podváděl pouze v prokázaném případě? Od začátku kauzy čekám, kdo z aktérů ukáže, že má ""žlázu"" a k problému se postaví čelem. Když je dotčený nemá, měl by je mít alespoň rektor. UP přeju v brzké době lepší vedení, mám ji rád. Současné vedení nemá pro řešení jakéhokoliv problému mou důvěru a akorát prohlubuje mezinárodní ""manipulační"" ostudu. Do vyřešení tohoto problému nemá cenu mluvit o zbudování VŠÚ, všichni se na takový ústav budou dívat akorát tak jako na bandu podvodníků. Tož pane Rektore, nepěkně to vedete."
"2020/02/24 7:15:15 PM GMT+1","PhD student(ka)","PřF","muž","spíše nedostatečně","zběžně sleduji","z www stránek UP;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;z jiných médií","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","z oficiálního e-mailu/stránky UP","ano","ano",":)"
"2020/02/24 7:23:16 PM GMT+1","PhD student(ka)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","spíše spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za korektní","účelové","nepovažuji za účelové","je spíše zbytečná","korektní","korektní","rozhodně transparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe;z oficiálního e-mailu/stránky UP;z oficiálního e-mailu/stránky fakulty;od kolegy/ně","je mi to jedno","je mi to jedno","Zdravim Jirku Kvitu a Martina Fafejtu! :)"
"2020/02/24 7:25:16 PM GMT+1","lektor(ka)","PřF;bývalý/á student(ka) UP;osoba mimo UP, t.č. v ČR","muž","nedostatečně","zběžně sleduji","z www stránek UP;z www stránek mé fakulty;z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","spíše nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","nepovažuji za účelové","je spíše zbytečná","mírně zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","možná vstoupil(a), ale ne za současných podmínek","z dŽurnálu","ano","ano","Mohu hodnotit i z pozice mimo UP a rozhodně je to smutné. Několikrát už mne kolegové z praxe žádali o informace a začínám mít problém jak jim situaci na naší instituci, na kterou jsem stále hrdý a rád zde působím, vysvětlovat... I když po mnoha letech co se na UP pohybuji už od studentských dob, mám na situaci myslím poměrně zasvěcený a vyjasněný názor. Evžen Tošenovský, zoolog, PřF UP, ČSO, ČESON"
"2020/02/24 7:27:41 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z dŽurnálu;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","nepovažuji za účelové","je zcela zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nechtěl(a) vstoupit","z UP reflexe","ano","ano","Uvedené kauzy jsou celkem velká ostuda pro UP"
"2020/02/24 7:45:57 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","nechci sdělit","spíše dostatečně","zběžně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí","celé univerzity","spíše nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych vyjádřil(a) pouze anonymně","spíše ano","pokládám za velký problém","","nevím, o co jde / nesleduji","nedovedu posoudit","nedovedu posoudit","je spíše zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","z oficiálního e-mailu/stránky fakulty","je mi to jedno","ano","Některé lidské vztahy v rámci UP jsou nyní již tak narušené, že si nedovedu představit, že by PřF fungovala bez vzniku ústavu a všichni aktéři by pracovali dále pod vedením PřF jakoby se nic nestalo..."
"2020/02/24 8:06:27 PM GMT+1","PhD student(ka)","LF","žena","nedostatečně","nesleduji, neboť nemám informace","z www stránek UP;z www stránek mé fakulty;ze sociálních sítí;z jiných médií","celé univerzity","spíše nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","Nechci vyjadřovat ","Nechci vyjadřovat","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","z části účelové","bych spíše uvítal(a)","mírně zaujaté","mírně zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","nevím / netýká se mne","nejsem rozhodnut(a)","ze sociálních sítí","ano","ano","Jeden s nosem, druhý bez "
"2020/02/24 8:08:19 PM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","rektorátu UP","žena","nedostatečně","zběžně sleduji","z dŽurnálu;ze zpravodajských serverů","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nedovedu posoudit","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","od kolegy/ně","ano","ano","Z dění na UP jsem opravdu zklamaná a rozčarovaná"
"2020/02/24 8:09:46 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","osoba mimo UP, t.č. v ČR","muž","spíše nedostatečně","zběžně sleduji","z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","možná vstoupil(a), ale ne za současných podmínek","z dŽurnálu","spíše ano","ano","Transparentnost je jediné řešení "
"2020/02/24 8:18:21 PM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PřF","muž","spíše dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nepovažuji za účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","možná vstoupil(a), ale ne za současných podmínek","od kolegy/ně","je mi to jedno","ano","Je to kampaaaaaň!"
"2020/02/24 8:18:54 PM GMT+1","Mgr student(ka)","PřF","žena","vůbec","pravidelně sleduji","z dŽurnálu;ze sociálních sítí","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nepovažuji za účelové","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z dŽurnálu","ano","ano","Jsem sice studentka, ale situace na UP se mi velmi nelíbí a velmi blízce se dotýká mých rodinných příslušníků. "
"2020/02/24 8:19:02 PM GMT+1","Bc student(ka)","PřF","žena","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z vnitřní platformy UP reflexe;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","pokládám za nevelký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","účelové","z části účelové","je spíše zbytečná","korektní","mírně zaujaté","","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe","je mi to jedno","ano","Nové vědecké centrum vidím jako dobrou šanci pro univerzitu. Naopak praní špinavého prádla na platformách typu Džurnál ničemu neprospěje."
"2020/02/24 8:35:45 PM GMT+1","Mgr student(ka)","PřF","žena","spíše nedostatečně","zběžně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z dŽurnálu","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","nedovedu posoudit","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","z dŽurnálu;ze sociálních sítí","ano","ano","Jako studentku mne tato napjatá situace na PřF už od začátku znepokojuje a nemám pocit, že by se situace za poslední dobu nějak měnila. Mám obavy veřejně vystupovat/ptát se na vznik VŠÚ a etických kauz, aby to negativně neovlivnilo dokončení mého studia. Proto jen pasivně sleduji dění okolo těchto témat, které ze strany vedení UP, potažmo PřF, není pro studenty dostatečně informativní, je těžké se v situaci zorientovat."
"2020/02/24 8:41:20 PM GMT+1","Mgr student(ka)","PřF","muž","spíše nedostatečně","zběžně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů","jen několika fakult","spíše spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","nedovedu posoudit","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nepovažuji za účelové","nemám vyhraněný názor","korektní","korektní","nedovedu posoudit","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","rozhodně ano","nechtěl(a) vstoupit","od kolegy/ně","je mi to jedno","ano","Bude už konec? Tahle situace mě už nebaví. "
"2020/02/24 8:42:21 PM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","PřF","nechci sdělit","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z vnitřní platformy UP reflexe","celé univerzity","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za ne vždy korektní","nedovedu posoudit","nepovažuji za účelové","nemám vyhraněný názor","korektní","korektní","rozhodně transparentní","za místo bez problémů","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe","spíše ne","ano","Předem díky za snahu. Anketa na mě však bohužel nepůsobí příliš nezaujatě. Spousta otázek je psána dle mého názoru sugestivně a více odpovědí se přiklání spíš k názorové skupině kritizující vedení UP (např jedna odpověď neutrální, dvě různě silné proti a jedna nevím). Chybí mi možnost se podobně vyjádřit vzhledem k vedení PřF UP."
"2020/02/24 9:20:49 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","zběžně sleduji","z www stránek UP;z Newsletteru UP;ze zpravodajských serverů","jen několika fakult","spíše spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","nepovažuji za účelové","je spíše zbytečná","korektní","korektní","nedovedu posoudit","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","od kolegy/ně","spíše ano","ano","Gaudeamus igitur"
"2020/02/24 9:41:52 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše dostatečně","zběžně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;z jiných médií","celé univerzity","spíše nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","účelové","nemám vyhraněný názor","zaujaté","mírně zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","od kolegy/ně;z dŽurnálu","spíše ano","ano","Situace už začíná být velmi nepřehledná a množství komentářů a příspěvků na všech platformách je unavující. To vede k částečné rezignaci na problém. Což je samozřejmě špatně."
"2020/02/24 9:58:25 PM GMT+1","PhD student(ka)","PřF","muž","spíše nedostatečně","nesleduji, neboť nemám informace","z Newsletteru UP;ze sociálních sítí;ze zpravodajských serverů","nedovedu posoudit","nemám jasný názor","nemám utvořen vlastní názor","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","nedovedu posoudit","pokládám za velký problém","pokládám za nepříliš dobře řešené","nevím, o co jde / nesleduji","nedovedu posoudit","nedovedu posoudit","nemám vyhraněný názor","nedovedu posoudit","nedovedu posoudit","spíše netransparentní","nedovedu posoudit","nemám jasný názor","nevím / netýká se mne","nevím, netýká se mne","z oficiálního e-mailu/stránky fakulty","spíše ano","spíše ano","O otázce VŠÚ bohužel vůbec nic nevím. O etických otázkách vím velice málo a uvítal bych větší informovanost."
"2020/02/24 10:00:42 PM GMT+1","Mgr student(ka)","PřF","muž","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","nemám vyhraněný názor","zaujaté","mírně zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ano","ano","Děkuji "
"2020/02/24 10:18:07 PM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PřF","muž","spíše dostatečně","zběžně sleduji","z www stránek UP;z www stránek mé fakulty;z dŽurnálu;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","z oficiálního e-mailu/stránky fakulty","spíše ano","ano","V širších souvislostech kauzu vnímám jako důsledek současného systému podpory vědy a výzkumu. Protože současná aféra významně poškodila a poškozuje po roky budované dobré jméno Univerzity Palackého, měli by hlavní aktéři přijmout odpovědnost a opustit vedoucí pozice na univerzitě (včetně rektora a děkana PřF). Domnívám se současně, že prof. Zbořil a kol. by měli univerzitu zcela opustit. Tito lidé dávno zapomněli, že akademické hodnoty mají vyšší cenu než milionové granty…"
"2020/02/24 10:22:56 PM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","rektorátu UP","žena","nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","účelové","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe;z dŽurnálu","spíše ano","ano","V bodu ""Etické podněty ohledně možného falšování dat"" je označena možnost ""z části účelové"" především proto, že nebýt přípravy VŠÚ, myslím, že by se kauzy zřejmě neotevřely, nicméně to nic nemění na jejich závažnosti a potřebě řešení"
